state,year,month,handgun_incidents,shotgun_incidents,rifle_incidents,firearm_incidents,knife_incidents,other_weapon_incidents,sibling_incidents,spouse_incidents,parent_incidents,child_incidents,dating_incidents,other_relations_incidents,accidental_incidents,intentional_incidents,total_incidents
Idaho,2001,October,2,1,0,0,1,1,0,1,0,0,2,2,0,5,5
Idaho,2001,November,0,0,1,0,0,1,0,0,0,0,0,2,0,2,2
Idaho,2001,December,2,1,2,0,0,0,1,1,0,0,1,2,0,5,5
Idaho,2002,January,0,0,0,0,2,1,0,0,1,0,0,2,0,3,3
Idaho,2002,February,0,0,0,0,0,3,0,2,0,0,0,1,0,3,3
Idaho,2002,March,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Idaho,2002,April,1,0,0,0,0,1,0,0,0,0,0,2,0,2,2
Idaho,2002,May,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Idaho,2002,June,0,0,0,2,1,0,0,0,0,0,0,3,0,3,3
Idaho,2002,July,1,0,1,3,0,0,0,0,0,0,0,5,0,5,5
Idaho,2002,August,1,0,1,0,1,2,1,0,0,1,0,3,0,5,5
Idaho,2002,September,1,0,0,0,0,1,0,0,0,0,0,2,0,2,2
Idaho,2002,October,0,0,1,1,1,2,0,1,0,0,1,3,0,5,5
Idaho,2002,November,0,0,0,0,1,1,0,0,0,1,0,1,0,2,2
Idaho,2002,December,2,0,0,1,0,1,0,1,0,0,0,3,0,4,4
Idaho,2003,January,2,0,0,1,0,1,0,2,0,0,1,1,0,4,4
Idaho,2003,February,0,0,0,0,0,2,0,0,0,1,0,1,0,2,2
Idaho,2003,March,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2
Idaho,2003,April,2,0,0,0,0,1,0,0,0,1,0,2,0,3,3
Idaho,2003,May,2,0,0,0,0,2,0,1,0,0,0,3,0,4,4
Idaho,2003,June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,2003,July,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Idaho,2003,August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,2003,September,0,0,2,0,0,1,0,0,2,0,0,1,0,3,3
Idaho,2003,October,4,0,0,0,0,0,0,0,0,0,0,4,0,4,4
Idaho,2003,November,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Idaho,2003,December,0,0,0,0,2,2,0,0,0,0,0,4,0,4,4
